timestamp,building,occupancy_percent,temperature_c,daylight_level,current_energy_kwh,flexible_load_kwh,grid_carbon_intensity
2026-08-01 08:00:00,Engineering Block,64,26.3,58,108.1,16.42,580
2026-08-01 08:00:00,Library,56,27.0,52,71.19,7.97,578
2026-08-01 08:00:00,Admin Block,76,28.3,46,64.99,11.42,432
2026-08-01 08:00:00,Innovation Centre,50,27.7,47,83.14,12.63,413
2026-08-01 08:00:00,Hostel Block,50,26.9,49,92.82,13.94,474
2026-08-01 09:00:00,Engineering Block,72,28.2,53,108.35,15.4,528
2026-08-01 09:00:00,Library,59,26.5,66,72.02,7.69,465
2026-08-01 09:00:00,Admin Block,88,27.5,52,65.66,11.83,570
2026-08-01 09:00:00,Innovation Centre,32,27.8,66,69.25,9.15,499
2026-08-01 09:00:00,Hostel Block,36,26.6,68,87.02,17.28,595
2026-08-01 10:00:00,Engineering Block,45,26.3,71,102.37,9.85,416
2026-08-01 10:00:00,Library,27,28.8,74,64.17,6.35,512
2026-08-01 10:00:00,Admin Block,51,28.6,73,60.96,9.3,489
2026-08-01 10:00:00,Innovation Centre,52,26.8,78,86.47,15.14,584
2026-08-01 10:00:00,Hostel Block,42,26.8,68,85.34,10.76,574
2026-08-01 11:00:00,Engineering Block,54,28.6,88,106.04,10.84,432
2026-08-01 11:00:00,Library,21,27.9,74,67.86,8.77,594
2026-08-01 11:00:00,Admin Block,40,29.0,85,50.99,4.4,401
2026-08-01 11:00:00,Innovation Centre,31,29.1,77,80.01,8.05,492
2026-08-01 11:00:00,Hostel Block,52,26.8,75,98.81,12.98,406
2026-08-01 12:00:00,Engineering Block,57,26.8,82,101.38,9.6,470
2026-08-01 12:00:00,Library,76,29.2,93,84.55,8.54,573
2026-08-01 12:00:00,Admin Block,70,26.8,88,58.05,9.33,442
2026-08-01 12:00:00,Innovation Centre,76,27.3,98,83.92,10.47,450
2026-08-01 12:00:00,Hostel Block,52,28.5,84,87.01,11.99,581
2026-08-01 13:00:00,Engineering Block,38,28.7,100,88.21,14.09,417
2026-08-01 13:00:00,Library,89,27.4,100,82.75,15.06,506
2026-08-01 13:00:00,Admin Block,56,28.1,100,51.36,5.27,521
2026-08-01 13:00:00,Innovation Centre,86,28.8,100,101.69,16.66,415
2026-08-01 13:00:00,Hostel Block,53,28.0,100,97.1,9.84,428
2026-08-01 14:00:00,Engineering Block,22,29.6,86,81.32,13.26,537
2026-08-01 14:00:00,Library,23,27.9,82,73.38,11.24,545
2026-08-01 14:00:00,Admin Block,88,29.8,93,73.62,13.41,592
2026-08-01 14:00:00,Innovation Centre,50,29.9,89,83.2,15.03,455
2026-08-01 14:00:00,Hostel Block,62,27.2,96,90.6,17.27,594
2026-08-01 15:00:00,Engineering Block,36,27.7,73,91.78,18.14,402
2026-08-01 15:00:00,Library,37,29.0,80,75.84,14.81,428
